2018.06.13 21:22:52 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00069.jpg 

2018.06.13 21:22:52 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00070.jpg 

2018.06.13 21:22:52 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00071.jpg 

2018.06.13 21:22:52 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00072.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00073.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00074.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00075.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00076.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00077.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00078.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00079.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00080.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00081.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00082.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00083.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00084.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00085.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00086.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00087.jpg 

2018.06.13 21:22:53 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00088.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00089.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00090.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00091.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.helpers.Helper 104 deleteImage - Helper Deleting C:\Users\wenbo\Desktop\videostreaming\t00001.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.helpers.Helper 104 deleteImage - Helper Deleting C:\Users\wenbo\Desktop\videostreaming\t00002.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.helpers.Helper 104 deleteImage - Helper Deleting C:\Users\wenbo\Desktop\videostreaming\t00003.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.helpers.Helper 104 deleteImage - Helper Deleting C:\Users\wenbo\Desktop\videostreaming\t00005.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.helpers.Helper 104 deleteImage - Helper Deleting C:\Users\wenbo\Desktop\videostreaming\t00004.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 0, EndIndex 17, RandomIndex 9 (File Name C:\Users\wenbo\Desktop\videostreaming\t00015.jpg), ListSize 86, eachPart 17 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 17, EndIndex 34, RandomIndex 17 (File Name C:\Users\wenbo\Desktop\videostreaming\t00023.jpg), ListSize 86, eachPart 17 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 34, EndIndex 51, RandomIndex 43 (File Name C:\Users\wenbo\Desktop\videostreaming\t00049.jpg), ListSize 86, eachPart 17 

2018.06.13 21:22:54 EDT INFO  objectsdetection.processors.WatsonProcessor 59 classifyAnImage - Faking : Classifying C:\Users\wenbo\Desktop\videostreaming\t00015.jpg on Thread pool-6-thread-1 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 51, EndIndex 68, RandomIndex 67 (File Name C:\Users\wenbo\Desktop\videostreaming\t00073.jpg), ListSize 86, eachPart 17 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 68, EndIndex 85, RandomIndex 72 (File Name C:\Users\wenbo\Desktop\videostreaming\t00078.jpg), ListSize 86, eachPart 17 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer 113 run - Cleaning List from 0 to 85 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00006.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00007.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00008.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00092.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00009.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00010.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.processors.WatsonProcessor 59 classifyAnImage - Faking : Classifying C:\Users\wenbo\Desktop\videostreaming\t00049.jpg on Thread pool-6-thread-3 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00011.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00012.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00013.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00014.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00016.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00017.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00018.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.processors.WatsonProcessor 59 classifyAnImage - Faking : Classifying C:\Users\wenbo\Desktop\videostreaming\t00078.jpg on Thread pool-6-thread-4 

2018.06.13 21:22:54 EDT INFO  objectsdetection.processors.WatsonProcessor 59 classifyAnImage - Faking : Classifying C:\Users\wenbo\Desktop\videostreaming\t00073.jpg on Thread pool-6-thread-5 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00019.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.processors.WatsonProcessor 59 classifyAnImage - Faking : Classifying C:\Users\wenbo\Desktop\videostreaming\t00023.jpg on Thread pool-6-thread-2 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00020.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00021.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00022.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00024.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00025.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00026.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00027.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00028.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00029.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00030.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00031.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00032.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00033.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00034.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00035.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00036.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00037.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00038.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00093.jpg 

2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00039.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00040.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00041.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00042.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00043.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00044.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00045.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00046.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00047.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00048.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00050.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00051.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00052.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00053.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00054.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00055.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00056.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00057.jpg
2018.06.13 21:22:54 EDT INFO  objectsdetection.Consumer$1 134 deleteImage - Consumer Deleting C:\Users\wenbo\Desktop\videostreaming\t00058.jpg
